Продукт,Старая цена,Новая цена,Процент скидки,Время акции
"Макароны MAKFA®, перья, 450г",74.99,44.99,-40%,С 2023-11-29 по 2023-12-05
"Конфеты TOFFIFEE, шоколадные, 125г",189.99,139.99,-26%,С 2023-11-29 по 2023-12-05
"Печенье CHOCO PIE в шоколадной глазури, 360г",201.99,139.99,-31%,С 2023-11-29 по 2023-12-05
"Капсулы для стирки ЛОСК Дуо-капс Колор, 12шт.",459.99,269.99,-41%,С 2023-11-29 по 2023-12-05
"Дезодорант-спрей REXONA®, Секси, 150мл",249.99,159.99,-36%,С 2023-11-29 по 2023-12-05
"Корм для кошек WHISKAS® паштет курица-индейка, 75г",26.99,20.99,-22%,С 2023-11-29 по 2023-12-05
"Конфеты ОТЛОМИ, вафельные с карамелью (Акконд), 100г",60.49,44.99,-26%,С 2023-11-29 по 2023-12-05
"Шпроты ВКУСНЫЕ КОНСЕРВЫ крупные в масле, 240г",173.99,119.99,-31%,С 2023-11-29 по 2023-12-05
"Сок САДЫ ПРИДОНЬЯ, яблочный, прямого отжима, 1л",123.99,89.99,-27%,С 2023-11-29 по 2023-12-05
"Туалетная бумага PAPIA, Папия, Балийский цветок, 3-слойная, 8 рулонов",309.99,189.99,-39%,С 2023-11-29 по 2023-12-05
"Кофе AMBASSADOR Platinum, растворимый, 190г",899.99,419.99,-53%,С 2023-11-29 по 2023-12-05
"Шоколад РОССИЯ, Молочный пористый, 82г",95.49,49.99,-48%,С 2023-11-29 по 2023-12-05
"Чай чёрный TESS фруктовый, 100пакетиков",378.99,249.99,-34%,С 2023-11-29 по 2023-12-05
"Вино МАР ЛИНДО красное сухое (Португалия), 0,75л",699.99,499.99,-29%,С 2023-11-15 по 2023-12-12
"Вино АЛЬТОЦАНО Вердехо Совиньон Блан белое сухое (Испания), 0,75л",699.99,549.99,-21%,С 2023-11-15 по 2023-12-12
"Вино АЛАЗАНСКАЯ ДОЛИНА Болеро белое полусладкое (Грузия), 0,75л",449.99,299.99,-33%,С 2023-11-15 по 2023-12-12
